time;averageAirTemp;averageDewPointTemperature;averageRelativeHumidity;averageAirPressure;averageWindDirection;maxWindSpeed;averageWindSpeed;rainIntensity;averagePm10
"2017-01-01 00:00:00";-3.1633333333333;-8.155;68.435;997.555;234;1.5;0.83166666666667;0;
"2017-01-01 01:00:00";-3.4966666666667;-8.6016666666667;67.755;997.04833333333;217;1.5;0.94166666666667;0;
"2017-01-01 02:00:00";-3.6766666666667;-9.0566666666667;66.308333333333;996.25333333333;171;1.8;0.84833333333333;0;
"2017-01-01 03:00:00";-3.56;-9.3966666666667;64.006666666667;995.73166666667;190;1.2;0.65666666666667;0;
"2017-01-01 04:00:00";-4.0383333333333;-9.72;64.636666666667;995.23666666667;199;1.8;0.75333333333333;0;
"2017-01-01 05:00:00";-4.0116666666667;-9.9133333333333;63.566666666667;994.97666666667;195;1.9;0.98333333333333;0;
"2017-01-01 06:00:00";-4.3216666666667;-10.125;63.978333333333;994.59;202;1.5;0.99833333333333;0;
"2017-01-01 07:00:00";-4.265;-9.97;64.473333333333;994.54166666667;195;2;0.96833333333333;0;
"2017-01-01 08:00:00";-2.9083333333333;-9.6816666666667;59.661666666667;994.33333333333;184;2.1;1.1783333333333;0;
"2017-01-01 09:00:00";0.17166666666667;-8.9283333333333;50.49;993.85666666667;198;1.2;0.63;0;
"2017-01-01 10:00:00";1.2416666666667;-8.6966666666667;47.573333333333;992.94166666667;234;2.7;1.9333333333333;0;
"2017-01-01 11:00:00";3.035;-8.615;42.233333333333;992.11666666667;250;3.3;2.1633333333333;0;
"2017-01-01 12:00:00";4.3116666666667;-9.665;35.47;991.36833333333;245;4;2.8;0;
"2017-01-01 13:00:00";3.9233333333333;-8.505;39.973333333333;991.05166666667;235;3.4;1.95;0;
"2017-01-01 14:00:00";2.775;-8.675;42.733333333333;990.765;171;1.6;0.945;0;
"2017-01-01 15:00:00";1.735;-9.3383333333333;43.658333333333;990.265;207;1.2;0.64166666666667;0;
"2017-01-01 16:00:00";0.15166666666667;-9.0716666666667;49.998333333333;990.10166666667;281;1.5;0.765;0;
"2017-01-01 17:00:00";-1.2883333333333;-8.5433333333333;57.823333333333;990.04333333333;241;1.2;0.62;0;
