time;averagePm10;averageAirTemp;averageDewPointTemperature;averageRelativeHumidity;averageAirPressure;averageWindDirection;maxWindSpeed;averageWindSpeed;rainIntensity
"2018-11-16 07:00:00";10.19;-0.85333333333333;-4.9316666666667;73.901666666667;996.38;74;5.1;2.4383333333333;0
"2018-11-16 08:00:00";9.225;-1.03;-5.16;73.575;996.73666666667;79;4.6;2.5516666666667;0
"2018-11-16 09:00:00";8.1933333333333;-0.95833333333333;-5.1266666666667;73.361666666667;996.99333333333;86;4.7;2.6133333333333;0
"2018-11-16 10:00:00";12.515254237288;-0.99666666666667;-5.8566666666667;69.606666666667;996.96166666667;80;4.1;2.1933333333333;0
"2018-11-16 11:00:00";13.263333333333;-0.73;-6.1433333333333;66.813333333333;997.05333333333;78;4.9;2.3966666666667;0
"2018-11-16 12:00:00";15.533333333333;-0.71666666666667;-5.9133333333333;67.905;997.13833333333;79;4.5;2.01;0
"2018-11-16 13:00:00";16.966101694915;-0.77;-5.865;68.408333333333;997.17;82;4.6;2.5066666666667;0
"2018-11-16 14:00:00";19.025423728814;-0.725;-5.9833333333333;67.566666666667;997.25;80;4.9;2.57;0
"2018-11-16 15:00:00";16.715;-0.835;-5.4016666666667;71.215;997.59333333333;75;4.7;2.2216666666667;0
"2018-11-16 16:00:00";12.501666666667;-1.05;-5.15;73.708333333333;997.80833333333;78;5.2;2.65;0
"2018-11-16 17:00:00";14.765;-1.1416666666667;-4.9633333333333;75.21;997.74666666667;80;5.3;3.2083333333333;0
"2018-11-16 18:00:00";8.4783333333333;-0.79666666666667;-4.7516666666667;74.565;997.59333333333;85;5.1;2.8833333333333;0
"2018-11-16 19:00:00";9.8;-0.70666666666667;-4.7216666666667;74.246666666667;997.64666666667;84;5.2;2.97;0
"2018-11-16 20:00:00";12.665;-0.65333333333333;-4.7533333333333;73.805;997.75666666667;67;4.8;3.0166666666667;0
"2018-11-16 21:00:00";9.0152542372881;-0.41;-4.48;73.993333333333;997.64166666667;67;5.8;3.245;0
"2018-11-16 22:00:00";8.4508474576271;-0.29833333333333;-4.3116666666667;74.291666666667;997.37166666667;78;4.8;2.8483333333333;0
"2018-11-16 23:00:00";11.515254237288;-0.175;-4.3166666666667;73.626666666667;997.235;71;5.9;2.6433333333333;0
"2018-11-17 00:00:00";16.326666666667;-0.065;-4.31;73.051666666667;997.25;68;4.4;2.51;0
"2018-11-17 01:00:00";18.2;-0.061666666666667;-4.38;72.715;997.30166666667;70;4.3;2.23;0
"2018-11-17 02:00:00";14.508474576271;-0.035;-4.445;72.178333333333;997.18166666667;66;4.5;2.19;0
"2018-11-17 03:00:00";13.868333333333;-0.088333333333333;-4.7466666666667;70.863333333333;997.14;61;4.2;2.4916666666667;0
"2018-11-17 04:00:00";15.272881355932;-0.18166666666667;-5.0266666666667;69.848333333333;997.20833333333;71;4.3;2.5533333333333;0
