time;averageAirTemp;averageDewPointTemperature;averageRelativeHumidity;averageAirPressure;averageWindDirection;maxWindSpeed;averageWindSpeed;rainIntensity;averagePm10
"2019-07-05 23:00:00";16.404347826087;6.8391304347826;53.182608695652;987.10869565217;278;2.9;1.9304347826087;0;6.2762711864407
"2019-07-06 00:00:00";15.651666666667;6.855;55.841666666667;987.32666666667;268;3.3;1.6283333333333;0;7.4
"2019-07-06 01:00:00";14.753333333333;6.6866666666667;58.471666666667;987.61833333333;272;4.1;1.6133333333333;0;8.3466666666667
"2019-07-06 02:00:00";13.813333333333;6.3283333333333;60.666666666667;987.43833333333;236;2.3;1.3783333333333;0;9.2728813559322
"2019-07-06 03:00:00";13.771666666667;6.6083333333333;62.025;987.31166666667;269;2.8;1.605;0;10.028813559322
"2019-07-06 04:00:00";13.393333333333;6.975;65.151666666667;987.13;255;2.7;1.5283333333333;0;11.618644067797
"2019-07-06 05:00:00";13.161666666667;7.14;66.85;986.71166666667;258;2.9;1.6166666666667;0;8.0525423728814
"2019-07-06 06:00:00";13.173333333333;7.29;67.535;986.15333333333;263;3.1;1.81;0;6.1389830508475
"2019-07-06 07:00:00";12.966;7.25;68.232;985.976;272;3.2;1.982;0;6.1266666666667
"2019-07-06 08:00:00";13.6;8.8875;73.1875;985.84375;260;3.7;2.1375;1.68125;5.8583333333333
"2019-07-06 09:00:00";13.933333333333;9.495;74.696666666667;985.82166666667;280;3.9;1.8833333333333;1.355;5.5966101694915
"2019-07-06 10:00:00";16.49;8.2166666666667;58.481666666667;985.56166666667;312;4.5;2.5883333333333;0.29833333333333;7.164406779661
"2019-07-06 11:00:00";18.211666666667;4.365;40.078333333333;985.50333333333;346;5.7;3.1333333333333;0;7.135593220339
"2019-07-06 12:00:00";18.833333333333;3.1683333333333;35.353333333333;985.44833333333;346;5.7;3.0933333333333;0;6.5915254237288
"2019-07-06 13:00:00";19.633333333333;3.0016666666667;33.226666666667;985.48;349;5;2.7966666666667;0;5.89
"2019-07-06 14:00:00";19.556666666667;2.78;32.88;985.55166666667;1;5.2;3.14;0;6.4203389830508
"2019-07-06 15:00:00";19.743333333333;2.7866666666667;32.503333333333;985.515;14;4.9;2.7016666666667;0;6.6135593220339
"2019-07-06 16:00:00";19.523333333333;3.2166666666667;33.975;985.58;16;4.4;2.5816666666667;0;5.5677966101695
"2019-07-06 17:00:00";19.443333333333;3.4533333333333;34.706666666667;985.62333333333;11;3;1.67;0;5.595
"2019-07-06 18:00:00";18.745;3.85;37.3025;985.7825;14;2.6;0.8725;0;7.46
"2019-07-06 19:00:00";15.69696969697;5.3848484848485;50.29696969697;986.27575757576;272;1;0.51515151515152;0;7.8116666666667
"2019-07-06 20:00:00";14.148333333333;5.9783333333333;58.055;986.35833333333;249;1.2;0.585;0;10.440677966102
"2019-07-06 21:00:00";12.533333333333;6.4733333333333;66.57;986.43166666667;283;1;0.50833333333333;0;20.856666666667
"2019-07-06 22:00:00";11.461666666667;6.28;70.503333333333;986.56333333333;295;1.6;0.67166666666667;0;15.661016949153
"2019-07-06 23:00:00";10.735;6.0483333333333;72.816666666667;986.235;280;1.3;0.68166666666667;0;15.933333333333
"2019-07-07 00:00:00";9.9633333333333;5.7166666666667;74.913333333333;986.05333333333;284;1.4;0.87333333333333;0;14.977966101695
"2019-07-07 01:00:00";9.5166666666667;5.5766666666667;76.445;985.67333333333;283;1.6;0.75333333333333;0;11.049152542373
"2019-07-07 02:00:00";8.89;5.12;77.235;985.705;265;1.1;0.47833333333333;0;7.7966101694915
"2019-07-07 03:00:00";8.9066666666667;5.1;77.076666666667;985.71833333333;250;1.1;0.57166666666667;0;8.3833333333333
"2019-07-07 04:00:00";9.64;5.1566666666667;73.665;985.75;277;1.7;0.75666666666667;0;9.1661016949153
"2019-07-07 05:00:00";13.33;5.6366666666667;59.976666666667;985.77;274;1.4;0.53166666666667;0;8.1661016949153
"2019-07-07 06:00:00";16.385;6.1316666666667;50.801666666667;985.80333333333;224;1.9;0.96;0.02;8.5186440677966
"2019-07-07 07:00:00";19.196666666667;6.4933333333333;43.62;985.68;221;2.2;1.0433333333333;0;10.433898305085
"2019-07-07 08:00:00";21.3;4.0610169491525;32.38813559322;985.46610169492;228;3.8;1.9254237288136;0;9.8084745762712
"2019-07-07 09:00:00";22.486666666667;3.205;28.335;985.185;251;3.5;1.7366666666667;0;7.671186440678
"2019-07-07 10:00:00";23.575;3.2466666666667;26.571666666667;984.76666666667;202;3.9;1.6666666666667;0;9.471186440678
"2019-07-07 11:00:00";23.705;3.2983333333333;26.473333333333;984.29;87;2.9;1.1733333333333;0;11.638983050847
"2019-07-07 12:00:00";24.303333333333;2.9016666666667;24.82;983.97333333333;137;3.4;1.3333333333333;0;12.215
"2019-07-07 13:00:00";24.426666666667;2.91;24.671666666667;983.695;311;3.1;1.2833333333333;0;12.752542372881
"2019-07-07 14:00:00";24.646666666667;2.9883333333333;24.686666666667;983.36333333333;227;5;1.7383333333333;0;10.449152542373
"2019-07-07 15:00:00";22.061666666667;6.9416666666667;37.641666666667;983.425;274;5.9;3.625;0;8.7305084745763
